symbol,asset_type,name,exchange,currency,active,sector,industry,source,notes
SPY,etf,SPDR S&P 500 ETF Trust,NYSEARCA,USD,true,,,manual_seed,broad_market_benchmark
QQQ,etf,Invesco QQQ Trust,NASDAQ,USD,true,,,manual_seed,nasdaq_100_proxy
IWM,etf,iShares Russell 2000 ETF,NYSEARCA,USD,true,,,manual_seed,small_cap_proxy
DIA,etf,SPDR Dow Jones Industrial Average ETF Trust,NYSEARCA,USD,true,,,manual_seed,dow_proxy
XLF,etf,Financial Select Sector SPDR Fund,NYSEARCA,USD,true,,,manual_seed,sector_etf_sample
XLK,etf,Technology Select Sector SPDR Fund,NYSEARCA,USD,true,,,manual_seed,sector_etf_sample
XLV,etf,Health Care Select Sector SPDR Fund,NYSEARCA,USD,true,,,manual_seed,sector_etf_sample
XLY,etf,Consumer Discretionary Select Sector SPDR,NYSEARCA,USD,true,,,manual_seed,sector_etf_sample
